Epoch [298/1000], Train Loss: 6.5240, Val Loss: 6.6623
Epoch [299/1000], Train Loss: 6.5208, Val Loss: 6.6601
Epoch [300/1000], Train Loss: 6.5178, Val Loss: 6.6578
Epoch [301/1000], Train Loss: 6.5157, Val Loss: 6.6556
Epoch [302/1000], Train Loss: 6.5127, Val Loss: 6.6534
Epoch [303/1000], Train Loss: 6.5100, Val Loss: 6.6512
Epoch [304/1000], Train Loss: 6.5071, Val Loss: 6.6489
Epoch [305/1000], Train Loss: 6.5037, Val Loss: 6.6467
Epoch [306/1000], Train Loss: 6.5016, Val Loss: 6.6445
Epoch [307/1000], Train Loss: 6.4992, Val Loss: 6.6424
Epoch [308/1000], Train Loss: 6.4967, Val Loss: 6.6402
Epoch [309/1000], Train Loss: 6.4946, Val Loss: 6.6380
Epoch [310/1000], Train Loss: 6.4906, Val Loss: 6.6359
Epoch [311/1000], Train Loss: 6.4880, Val Loss: 6.6337
Epoch [312/1000], Train Loss: 6.4850, Val Loss: 6.6316
Epoch [313/1000], Train Loss: 6.4834, Val Loss: 6.6295
Epoch [314/1000], Train Loss: 6.4792, Val Loss: 6.6274
Epoch [315/1000], Train Loss: 6.4784, Val Loss: 6.6253
Epoch [316/1000], Train Loss: 6.4750, Val Loss: 6.6232
Epoch [317/1000], Train Loss: 6.4715, Val Loss: 6.6211
Epoch [318/1000], Train Loss: 6.4697, Val Loss: 6.6190
Epoch [319/1000], Train Loss: 6.4671, Val Loss: 6.6169
Epoch [320/1000], Train Loss: 6.4645, Val Loss: 6.6149
Epoch [321/1000], Train Loss: 6.4620, Val Loss: 6.6128
Epoch [322/1000], Train Loss: 6.4588, Val Loss: 6.6108
Epoch [323/1000], Train Loss: 6.4566, Val Loss: 6.6087
Epoch [324/1000], Train Loss: 6.4545, Val Loss: 6.6067
Epoch [325/1000], Train Loss: 6.4510, Val Loss: 6.6047
Epoch [326/1000], Train Loss: 6.4488, Val Loss: 6.6027
Epoch [327/1000], Train Loss: 6.4466, Val Loss: 6.6007
Epoch [328/1000], Train Loss: 6.4431, Val Loss: 6.5987
Epoch [329/1000], Train Loss: 6.4414, Val Loss: 6.5967
Epoch [330/1000], Train Loss: 6.4389, Val Loss: 6.5947
Epoch [331/1000], Train Loss: 6.4357, Val Loss: 6.5927
Epoch [332/1000], Train Loss: 6.4339, Val Loss: 6.5908
Epoch [333/1000], Train Loss: 6.4301, Val Loss: 6.5888
Epoch [334/1000], Train Loss: 6.4280, Val Loss: 6.5869
Epoch [335/1000], Train Loss: 6.4260, Val Loss: 6.5849
Epoch [336/1000], Train Loss: 6.4236, Val Loss: 6.5830
Epoch [337/1000], Train Loss: 6.4210, Val Loss: 6.5811
Epoch [338/1000], Train Loss: 6.4182, Val Loss: 6.5791
Epoch [339/1000], Train Loss: 6.4157, Val Loss: 6.5772
Epoch [340/1000], Train Loss: 6.4141, Val Loss: 6.5753
Epoch [341/1000], Train Loss: 6.4108, Val Loss: 6.5734
Epoch [342/1000], Train Loss: 6.4084, Val Loss: 6.5715
Epoch [343/1000], Train Loss: 6.4068, Val Loss: 6.5697
Epoch [344/1000], Train Loss: 6.4024, Val Loss: 6.5678
Epoch [345/1000], Train Loss: 6.4020, Val Loss: 6.5659
Epoch [346/1000], Train Loss: 6.3997, Val Loss: 6.5641
Epoch [347/1000], Train Loss: 6.3961, Val Loss: 6.5622
Epoch [348/1000], Train Loss: 6.3947, Val Loss: 6.5604
Epoch [349/1000], Train Loss: 6.3918, Val Loss: 6.5585
Epoch [350/1000], Train Loss: 6.3898, Val Loss: 6.5567
Epoch [351/1000], Train Loss: 6.3875, Val Loss: 6.5549
Epoch [352/1000], Train Loss: 6.3845, Val Loss: 6.5530
Epoch [353/1000], Train Loss: 6.3820, Val Loss: 6.5512
Epoch [354/1000], Train Loss: 6.3808, Val Loss: 6.5494
Epoch [355/1000], Train Loss: 6.3782, Val Loss: 6.5476
Epoch [356/1000], Train Loss: 6.3760, Val Loss: 6.5459
Epoch [357/1000], Train Loss: 6.3733, Val Loss: 6.5441
Epoch [358/1000], Train Loss: 6.3718, Val Loss: 6.5423
Epoch [359/1000], Train Loss: 6.3697, Val Loss: 6.5405
Epoch [360/1000], Train Loss: 6.3670, Val Loss: 6.5387
Epoch [361/1000], Train Loss: 6.3640, Val Loss: 6.5370
Epoch [362/1000], Train Loss: 6.3616, Val Loss: 6.5352
Epoch [363/1000], Train Loss: 6.3589, Val Loss: 6.5335
Epoch [364/1000], Train Loss: 6.3563, Val Loss: 6.5317
Epoch [365/1000], Train Loss: 6.3544, Val Loss: 6.5300
Epoch [366/1000], Train Loss: 6.3527, Val Loss: 6.5283
Epoch [367/1000], Train Loss: 6.3496, Val Loss: 6.5266
Epoch [368/1000], Train Loss: 6.3486, Val Loss: 6.5248
Epoch [369/1000], Train Loss: 6.3458, Val Loss: 6.5231
Epoch [370/1000], Train Loss: 6.3434, Val Loss: 6.5214
Epoch [371/1000], Train Loss: 6.3418, Val Loss: 6.5197
